BEA_Summary,BEA_Detail,DnB_Share_RoUS,X_Share_US,alpha_RoUS,RoUS_Share_Used,DetailedOutput_CA_RoUS,D_cal_RoUS,RoUS_Direct_Emissions,RoUS_Output_Weight,RoUS_Emissions_Weight
322,322110,0.012864117922797607,0.03682494791722887,0.2,0.03203278191834262,6250592102.105761,0.4843636730693665,3027559749.434319,0.03203278191834262,0.05988050310886003
322,322120,0.20162427776739364,0.20367871676687427,0.2,0.20326782896697815,39663875887.89592,0.5148547023951878,20421133016.10232,0.20326782896697815,0.40389878987050115
322,322130,0.23392584047565687,0.1772379400049654,0.2,0.18857552009910372,36796949437.194885,0.5522853991654372,20322417907.991585,0.18857552009910375,0.4019463559543015
322,322210,0.20241316026638875,0.3494349154262152,0.2,0.3200305643942499,62447917365.85603,0.025739922169124855,1607404532.6210747,0.3200305643942499,0.031792004148157964
322,322220,0.1505596584106584,0.11583963903671161,0.2,0.12278364291150097,23958907802.850952,0.02558531505432627,612996204.4934976,0.12278364291150097,0.012124127735464401
322,322230,0.013943209281933327,0.030704547662482054,0.2,0.02735227998637231,5337280592.526511,0.0066423839405200455,35452266.89384741,0.027352279986372307,0.0007011916373739003
322,322291,0.14578563080438914,0.06142528686002958,0.2,0.0782973556489015,15278249453.399689,0.2898193331041192,4427932067.582672,0.0782973556489015,0.08757772657938337
322,322299,0.03888410507078226,0.024854006325493033,0.2,0.027660026074550877,5397331426.4855,0.019478053327348886,105129509.3504606,0.027660026074550877,0.0020793009659576187
323,323110,0.9646354584174022,0.9619550323495418,0.2,0.9624911175631139,76578439237.78934,0.04398283901703444,3368137165.171442,0.962491117563114,0.973143756030656
323,323120,0.03536454158259781,0.03804496765045814,0.2,0.037508882436886076,2984309800.014453,0.031146850443597215,92951851.01841168,0.037508882436886076,0.026856243969344048
324,324110,0.9856091612827923,0.9181303047794752,0.2,0.9316260760801387,713200359057.8873,0.17532200242330356,125039715079.0479,0.9316260760801387,0.7987318646425092
324,324121,0.003422421634773755,0.024551628392135608,0.2,0.020325787040663238,15560275724.06442,1.1680137802188744,18174616469.712467,0.020325787040663238,0.11609627623382483
324,324122,0.004035981129568633,0.02019180263668304,0.2,0.01696063833526016,12984107745.732512,0.4492227402636489,5832756461.416428,0.01696063833526016,0.037258629720065904
324,324190,0.006932435952865324,0.03712626419170612,0.2,0.031087498543937962,23798834846.955162,0.3151713365398421,7500710586.805826,0.031087498543937962,0.04791322940360018
325,325110,0.003882746554790449,0.06926671326187316,0.2,0.05618991992045661,47394380281.38579,0.7454154589877171,35328503730.887596,0.05618991992045661,0.10230952459542415
325,325120,0.020795322613693518,0.012261268778102468,0.2,0.013968079545220679,11781623371.309042,1.8024142584303373,21235365951.90352,0.01396807954522068,0.06149652449757237
325,325130,0.008030100725525765,0.00891868029086653,0.2,0.008740964377798378,7372720771.516924,0.1094959677414243,807283195.7645459,0.008740964377798378,0.0023378504960665752
